rank,user_id,name,team_id,team_name,team_rank,team_points,points
1,8,okalamar,4,awaken,12,222,222
2,116,Houssem0x1,69,HEXPLOIT 0xFF,4,295,151
3,47,WProulx09,14,Hashed Potato,14,219,143
4,222,Devmvrick,70,Eggsploit::0xDEADBEEF,10,239,137
5,196,cloclooo0,67,GLADOS,2,312,134
6,36,JackOrion,9,SpyVsCat5,9,247,131
7,200,g33kex,67,GLADOS,2,312,129
8,12,P.S.Y,32,PolyQamspiracy,1,323,125
9,25,Delta025,12,Confidently Wrong,13,222,124
10,76,Hugh,18,La Famille Test,7,263,120
11,69,ovr,32,PolyQamspiracy,1,323,117
12,173,zepto,57,Poulet Rouge Enjoyers,3,301,113
13,39,ali_ben,13,Fl4g_Hunt3r5,26,149,111
14,184,Pico,57,Poulet Rouge Enjoyers,3,301,111
15,14,Drakota,5,Brouette Rouge,6,286,109
16,56,Skye,16,The Alcoholic Sabrinas,22,160,109
17,72,Lup,41,The while(1)s,17,182,98
18,91,tabtouche,26,ademo(demon) et nos(nosferatu) pnl,5,288,97
19,170,dirtyC0wBoy,69,HEXPLOIT 0xFF,4,295,97
20,53,AlrikRr,15,SummerJedi,27,139,96
21,85,M-I,25,Couscous et Plantain,21,162,94
22,143,0xsalad,19,Teamskill,16,183,92
23,68,Hannibal119,35,CroquETS Formelles,23,156,91
24,19,jflabbe,8,Fort Dommage,11,230,89
25,57,RobInTheHood,7,swørdfish,8,259,85
26,92,cacaprout,26,ademo(demon) et nos(nosferatu) pnl,5,288,85
27,46,KptCheeseWhiz,5,Brouette Rouge,6,286,83
28,67,rayenskill,19,Teamskill,16,183,79
29,17,Vianpyro,22,PoulETS,32,124,77
30,104,alphawolf77,9,SpyVsCat5,9,247,76
31,189,5klae,58,Vite su'l Python,33,124,76
32,34,Loyko,50,Y'a une limite de charactères ?,20,164,74
33,167,0xTFS,70,Eggsploit::0xDEADBEEF,10,239,74
34,58,V1cky,54,FishnETS,19,169,73
35,229,!ntrus'!on,79,void();,43,72,72
36,132,Cr4cker,43,Apér0verflow,24,153,71
37,197,lUI,40,Mr. Robot,15,188,71
38,21,euphoria,7,swørdfish,8,259,67
39,169,Fredd,8,Fort Dommage,11,230,66
40,114,Playmaker,32,PolyQamspiracy,1,323,64
41,33,Bayatriss,8,Fort Dommage,11,230,63
42,125,els,50,Y'a une limite de charactères ?,20,164,61
43,201,L'homme de l'est,26,ademo(demon) et nos(nosferatu) pnl,5,288,60
44,32,clemclem,11,Heated Hackers,18,179,58
45,11,amirat3ilka,39,Hackaholics,30,131,57
46,23,Atlantis11656,7,swørdfish,8,259,57
47,158,Slowship,42,ZeroDayZ,44,66,56
48,35,the_biscuit,11,Heated Hackers,18,179,55
49,157,Andy,51,Full Stack Attack,41,86,54
50,178,Lucci,48,Hydrogène Actinium Potassium,31,127,54
51,43,najlaa,74,Miau in Spanish,35,116,53
52,118,Tsagueu Kennang Brice Aurel,12,Confidently Wrong,13,222,52
53,161,CyberSensei🥋,37,"cowsay ""bustin' n' flaggin'""",28,139,52
54,174,Hundrick,46,My Fellas : Infinity War,39,99,51
55,27,Milkiie,7,swørdfish,8,259,50
56,40,H4dd0ck,5,Brouette Rouge,6,286,50
57,209,Yoak,40,Mr. Robot,15,188,50
58,37,Dukey,18,La Famille Test,7,263,49
59,190,bouleaulama30,47,batatHACK,34,121,49
60,195,maaaaya,67,GLADOS,2,312,49
61,74,Bling Bling Boy,18,La Famille Test,7,263,48
62,168,LaurentMercier,72,/etc/ld.so.preload,25,153,48
63,65,SinisterShadow,14,Hashed Potato,14,219,47
64,80,moi_c_sam,22,PoulETS,32,124,47
65,5,Mary,18,La Famille Test,7,263,46
66,15,leftZ,54,FishnETS,19,169,46
67,78,Jeanne,41,The while(1)s,17,182,46
68,181,rasta,56,Monteiro_Enjoyers,29,137,46
69,202,PatneDirtt,26,ademo(demon) et nos(nosferatu) pnl,5,288,46
70,207,WO Xian-Nie,62,CFB Gagetown,47,56,46
71,63,OliGyat,10,passe moi le briquETS,37,99,45
72,192,Sarah,72,/etc/ld.so.preload,25,153,45
73,75,ali31415,5,Brouette Rouge,6,286,44
74,84,pobrillant,35,CroquETS Formelles,23,156,44
75,115,iK,47,batatHACK,34,121,44
76,127,T1b0ss,43,Apér0verflow,24,153,44
77,66,ArnaudGrd,25,Couscous et Plantain,21,162,42
78,109,milou,40,Mr. Robot,15,188,41
79,129,paradoxxx,39,Hackaholics,30,131,41
80,194,Izykool,44,511_Kinderheim,45,66,41
81,176,xif19,57,Poulet Rouge Enjoyers,3,301,40
82,219,h,72,/etc/ld.so.preload,25,153,40
83,54,m3ow,37,"cowsay ""bustin' n' flaggin'""",28,139,39
84,44,O7,45,mkdir KGB,36,101,38
85,77,deraju,41,The while(1)s,17,182,38
86,105,d0rit0s,43,Apér0verflow,24,153,38
87,220,phildragonbleu,48,Hydrogène Actinium Potassium,31,127,38
88,186,Xanto14,57,Poulet Rouge Enjoyers,3,301,37
89,31,Romz,11,Heated Hackers,18,179,36
90,150,mel20,45,mkdir KGB,36,101,36
91,71,orty,54,FishnETS,19,169,35
92,113,👁ω👁💅✨,33,ETSpadøn,38,99,34
93,187,Qui4,56,Monteiro_Enjoyers,29,137,34
94,29,lihsng,10,passe moi le briquETS,37,99,33
95,73,DarK.GhosT,12,Confidently Wrong,13,222,33
96,20,qwertyu0,9,SpyVsCat5,9,247,31
97,110,elipell,30,Free food,50,52,31
98,151,killian,74,Miau in Spanish,35,116,31
99,30,BigCheetoh,11,Heated Hackers,18,179,30
100,175,yanidan,56,Monteiro_Enjoyers,29,137,30
101,221,Tomas Navarro,69,HEXPLOIT 0xFF,4,295,30
102,55,Felty8,14,Hashed Potato,14,219,29
103,82,AleksTimo,37,"cowsay ""bustin' n' flaggin'""",28,139,29
